ALM Audit Report,,
About,,
Account,Tài khoản,
Account Info,Thông tin tài khoản,
Accounting,Kế toán,
Accounting Details,Chi tiết hạch toán,
Accounting Dimension,Kích thước kế toán,
Accounting Dimensions,Kích thước kế toán,
Accounts,Tài khoản kế toán,
Accrual Date,,
Accrual Details,,
Accrual Type,,
Active,có hiệu lực,
Add To First EMI,,
Add to first repayment,,
Additional Information,thông tin thêm,
Additional Interest,,
Additional Interest Accounts ,,
Additional Interest Accrued,,
Additional Interest Amount,,
Additional Interest Income,,
Additional Interest Receivable,,
Additional Interest Suspense,,
Additional Interest Suspense Entry,,
Additional Interest Waiver,,
Additional Requirements,,
Additional details or special instructions,,
Additional notes about this fee,,
Additional requirements or special conditions,,
Address,Địa chỉ,
Address Details,,
Address HTML,Địa chỉ HTML,
Adjusted Amount,,
Adjusted Interest,,
Adjustment Account,,
Adjustment Details,,
Adjustment Receivable Account,,
Adjustment Type,,
Adjustments,,
Advance Payment,,
Against Loan,Chống lại khoản vay,
Against Loan ,Chống lại khoản vay,
All entries on and after this date will be reposted,,
Allocated Amount,Số lượng phân bổ,
Allocated Date,,
Allocated Demands,,
Allow NPL Customers,,
Allow customers with Non-Performing Loan history,,
Allowed Collateral Types,,
Amended From,Sửa đổi Từ,
America/New_York,Mỹ / New_York,
Amount,Giá trị,
Amount Paid,Số tiền trả,
Amount on which interest is calculated,,
Amounts,Lượng,
Any Collateral,,
Applicability Range,,
Applicant,Người nộp đơn,
Applicant ,,
Applicant Details,,
Applicant Name,Tên đơn,
Applicant Type,Loại người nộp đơn,
Applicant-Wise Loan Security Exposure,,
Applies to Loan Amount (Max),,
Applies to Loan Amount (Min),,
Approved,Đã được phê duyệt,
Apps,,
Auto Write Off Amount ,,
Automatically set based on parent product. Sub-products inherit approval limits from parent.,,
Available Amount,,
Available Limit,,
Available Limit Amount,,
Available Security Deposit,,
Available Security Value,,
BPI,,
BPI Amount Difference,,
BPI Difference Date,,
Balance Amount,,
Balance Loan Amount,Số dư vay nợ,
Balance Overdue Principal,,
Bank Account,Tài khoản ngân hàng,
Bank Statement,,
Base Amount,,
Bi-Weekly,,
Both Fixed Deposit and Corporate Guarantee,,
Branch,Chi nhánh,
Branch Details,,
Broken Period Interest,,
Broken Period Interest Days,,
Broken Period Interest Recovery Account,,
Bulk Repayment Log,,
Business Registration,,
Cancel Future Accruals and Demands ,,
Cancel future EMI Demands,,
Cancellation Date,,
Cancelled,HỦY BỎ,
Capitalize,,
Carry Forward,Carry Forward,
Centralized,,
Change Date,,
Charge,,
Charge Accounts,,
Charge Amount,,
Charge Based On,,
Charge Code,,
Charge Payment,,
Charge Type,,
Charges,Phí,
Charges Capitalization,,
Charges Overdue,,
Charges Treatment,,
Charges Waiver,,
Check credit bureau (NCB) before approving loan,,
Check if fee amount is a percentage of loan amount,,
Check if field verification is required,,
Check if guarantor is required for this product,,
Check if income verification is required,,
Check if ownership transfer is required,,
Check if this fee is waived (free),,
Classification Code,,
Classification Name,,
Clear demand allocation before repost,,
Clearance Date,Ngày chốt sổ,
Closed,Đã đóng,
Closed Account Report,,
Closure Date,,
Co Lender Schedule,,
Co Lending,,
Co-Lender Schedule,,
Collateral Photo,,
Collateral Requirements,,
Collateral Type,,
Collateral and guarantor requirements by loan amount tier,,
Collection Offset Sequence,,
Collection Offset Sequence for Settlement Collection,,
Collection Offset Sequence for Standard Asset,,
Collection Offset Sequence for Sub Standard Asset,,
Collection Offset Sequence for Written Off Asset,,
Collection Percentage,,
Collection at partner's percentage,,
Color theme for highlighted point,,
Company,Công ty,
Company Collection Percentage,,
Completed,Hoàn thành,
Completed Tenure,,
Components,Các thành phần,
Connections,,
Contract Export Report,,
Contract Fee,,
Corporate Guarantee Only,,
Cost Center,Bộ phận chi phí,
Credit Account,Tài khoản nợ,
Credit Adjustment,,
Credit Adjustment Amount,,
Credit Approval Report,,
Criteria for loan application screening and approval,,
Current Disbursed Amount,,
Current Principal Amount,,
Current Restructure Count,,
Custom Limits,,
Custom Product Code,,
Custom Product Settings,,
Custom Requirements,,
Custom product categorization and requirements,,
